Fold Number,Number of examples in fold,Model,Average Log Loss for Class "A",Precision for Class "A",Recall for Class "A",Average Log Loss for Class "B",Precision for Class "B",Recall for Class "B",Average Log Loss for Class "C",Precision for Class "C",Recall for Class "C",Average Log Loss for Class "E",Precision for Class "E",Recall for Class "E",Average Log Loss for Class "G",Precision for Class "G",Recall for Class "G",Average Log Loss for Class "H",Precision for Class "H",Recall for Class "H",Average Log Loss for Class "K",Precision for Class "K",Recall for Class "K",Average Log Loss for Class "L",Precision for Class "L",Recall for Class "L",Average Log Loss for Class "M",Precision for Class "M",Recall for Class "M",Average Log Loss for Class "N",Precision for Class "N",Recall for Class "N",Average Log Loss for Class "R",Precision for Class "R",Recall for Class "R",Average Log Loss for Class "S",Precision for Class "S",Recall for Class "S",Average Log Loss for Class "Z",Precision for Class "Z",Recall for Class "Z"
0,10959,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,2.03626695947459,0,0,1.22980163854964,0.787037037037037,0.691056910569106,1.10520758286446,0.815217391304348,0.547445255474453,9.31071961384205,0,0,22.1922877671267,0,0,6.7738088215717,0.0553359683794466,0.0102564102564103,1.67863211839103,0,0,18.3291699007191,0,0,2.67235056274148,0,0,8.101194567834,0,0,1.47982385268877,0.11737400530504,0.0614156835530881,1.00397248112366,0.00902346099859635,1,0,0,0
1,5411,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.99270225002472,0,0,1.21466212826798,1,0.382113821138211,1.04101962756447,0.83495145631068,0.632352941176471,11.7582673735165,0,0,20.3388921031809,0,0,6.45805268626842,0,0,1.67776004676633,0,0,18.7035264377291,0,0,2.35671529739727,0,0,8.38844554997077,0,0,1.46583188363501,0.141768292682927,0.0645161290322581,0.948468822722714,0.00879937426671881,1,0,0,0
2,8186,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,2.06179248605029,0,0,1.19058504980641,0.825,0.811475409836066,0.924377265980165,0.79646017699115,0.661764705882353,11.3518809227422,0,0,8.47821444608146,0,0,0.929154804413938,0.838095238095238,0.88,1.42136742162817,0.656862745098039,0.245601173020528,2.52076840206327,0,0,0.845110711046708,1,0.62,6.65809552160148,0,0,1.0202698339207,0.704975473020322,0.502748625687156,0.790474115436374,0.499509130178677,0.882414151925078,2.07735361876523,0,0
Mean,24557,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,2.03025389851653,0,0,1.21168293887468,0.870679012345679,0.628215380514461,1.0235348254697,0.815543008202059,0.613854300844425,10.8069559700336,0,0,17.0031314387963,0,0,4.72033877075135,0.297810402158228,0.296752136752137,1.59258652892851,0.218954248366013,0.0818670576735093,13.1844882468372,0,0,1.95805885706182,0.333333333333333,0.206666666666667,7.71591187980208,0,0,1.32197519008149,0.321372590336096,0.209560146090834,0.914305139760916,0.172443988481331,0.960804717308359,0.692451206255077,0,0
Standard Deviation,24557,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,0.0349354097597443,0,0,0.0197773073304911,0.113592407427383,0.221471526131449,0.0916743672153693,0.0192477054654979,0.0593623109050842,1.31161347661389,0,0,7.44072752970385,0,0,3.28705527550205,0.468717713881963,0.505133498171756,0.148280737642395,0.379239882702989,0.14179790335669,9.23694897680337,0,0,0.976676295899047,0.577350269189626,0.357957166897568,0.927286292059912,0,0,0.261378146086437,0.332433676117365,0.253913403774879,0.110773444303773,0.283246743562648,0.0678882210389467,1.19936067099615,0,0
