Fold Number,Number of examples in fold,Model,Average Log Loss for Class "A",Precision for Class "A",Recall for Class "A",Average Log Loss for Class "B",Precision for Class "B",Recall for Class "B",Average Log Loss for Class "C",Precision for Class "C",Recall for Class "C",Average Log Loss for Class "E",Precision for Class "E",Recall for Class "E",Average Log Loss for Class "F",Precision for Class "F",Recall for Class "F",Average Log Loss for Class "G",Precision for Class "G",Recall for Class "G",Average Log Loss for Class "H",Precision for Class "H",Recall for Class "H",Average Log Loss for Class "K",Precision for Class "K",Recall for Class "K",Average Log Loss for Class "L",Precision for Class "L",Recall for Class "L",Average Log Loss for Class "M",Precision for Class "M",Recall for Class "M",Average Log Loss for Class "N",Precision for Class "N",Recall for Class "N",Average Log Loss for Class "R",Precision for Class "R",Recall for Class "R",Average Log Loss for Class "S",Precision for Class "S",Recall for Class "S",Average Log Loss for Class "Z",Precision for Class "Z",Recall for Class "Z"
0,11008,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.21825819517742,1,0.509090909090909,0.924318007293058,0.836734693877551,0.488095238095238,0.979048509253741,1,0.588235294117647,4.14324421570992,0,0,0.903611196172942,1,1,19.9858830051947,0,0,4.54517026941319,0,0,0.685408619735955,0.1,0.952991452991453,18.4783050237864,0,0,1.52182602182851,0,0,7.53214978523855,0,0,3.19251163381401,0.00262605042016807,0.00172117039586919,3.26961725104478,0,0,0,0,0
1,5538,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.06341401836755,1,0.618181818181818,0.873781432102699,0.882352941176471,0.538922155688623,0.970547768209774,1,0.595588235294118,30,0,0,30,0,0,19.0609985126163,0,0,4.35016331240581,0,0,0.625623989492149,0.102449888641425,0.982905982905983,18.9272691771487,0,0,1.57850962809709,0,0,7.78092558267584,0,0,3.18894959894824,0.00475184794086589,0.00309810671256454,3.35791098559551,0,0,0,0,0
2,8280,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,0.925295528772648,1,0.696428571428571,0.904238605888064,0.870967741935484,0.48502994011976,0.936257306967708,1,0.635036496350365,4.25947405980637,0,0,0.813142489388422,1,1,7.34716607347251,0,0,0.860596744859359,0.723684210526316,0.812807881773399,0.496893118484471,0.600175746924429,0.998538011695906,1.91339362265751,1,0.0128205128205128,0.513041702594575,1,0.718260869565217,3.9452891699406,0,0,0.198312481749935,0.99474513925381,0.946026986506747,0.143644745563974,0.998580049698261,0.96866391184573,1.655373907171,0,0
Mean,24831,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.06898924743921,1,0.607900432900433,0.90077934842794,0.863351792329835,0.504015777967874,0.961951194810408,1,0.606286675254043,12.8009060918388,0,0,10.5722512285205,0.666666666666667,0.666666666666667,15.4646825304278,0,0,3.25197677555945,0.241228070175439,0.270935960591133,0.602641909237525,0.267541878521951,0.978145149197781,13.1063226078642,0.333333333333333,0.00427350427350427,1.20445911750672,0.333333333333333,0.239420289855072,6.41945484595167,0,0,2.19325790483739,0.334041012538281,0.316948754538394,2.25705766073476,0.332860016566087,0.322887970615243,0.551791302390332,0,0
Standard Deviation,24831,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,0.146560886191199,0,0.0940910734077001,0.0254452589812773,0.0237435915133574,0.0302686375165338,0.022653863995554,0,0.025168047119096,14.894965618976,0,0,16.8249847813459,0.577350269189626,0.577350269189626,7.0451691181162,0,0,2.07328984147024,0.41781927375565,0.469274849341321,0.0963361591649108,0.288071984571368,0.0231434959686825,9.69595981085222,0.577350269189626,0.00740192652807213,0.599455410383251,0.577350269189626,0.414688106391853,2.14629778772916,0,0,1.72767433356125,0.572187545345031,0.544798164865418,1.83080161634138,0.576530460500681,0.559258370258408,0.955730570914657,0,0
