Fold Number,Number of examples in fold,Model,Average Log Loss for Class "A",Precision for Class "A",Recall for Class "A",Average Log Loss for Class "B",Precision for Class "B",Recall for Class "B",Average Log Loss for Class "C",Precision for Class "C",Recall for Class "C",Average Log Loss for Class "F",Precision for Class "F",Recall for Class "F",Average Log Loss for Class "H",Precision for Class "H",Recall for Class "H",Average Log Loss for Class "K",Precision for Class "K",Recall for Class "K",Average Log Loss for Class "L",Precision for Class "L",Recall for Class "L",Average Log Loss for Class "M",Precision for Class "M",Recall for Class "M",Average Log Loss for Class "N",Precision for Class "N",Recall for Class "N",Average Log Loss for Class "R",Precision for Class "R",Recall for Class "R",Average Log Loss for Class "S",Precision for Class "S",Recall for Class "S",Average Log Loss for Class "Z",Precision for Class "Z",Recall for Class "Z"
0,11048,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.41724432703854,0.702702702702703,0.472727272727273,1.4638522834101,0.758241758241758,0.413173652694611,0.241927728077215,1,0.934306569343066,1.97101009757016,0,0,0.950282195019744,0.929245283018868,0.970443349753695,0.454712981490402,0.834346504559271,0.808541973490427,0.578625556101508,0.9875,0.675213675213675,0.273740050863902,0.907423580786026,0.903478260869565,4.3119806981269,0,0,0.213446613342312,0.880321665089877,0.930034982508746,0.145332855716968,0.915974759216207,0.953665283540802,0.371621791349919,1,0.866666666666667
1,5455,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.51708702978937,0.641025641025641,0.462962962962963,1.16008737911052,0.819047619047619,0.514970059880239,0.182126772513571,1,0.933823529411765,2.94055227083225,0,0,0.124828484257432,0.98,0.97029702970297,0.463064265190227,0.841444270015699,0.788815305371597,0.580027624412144,0.908045977011494,0.675213675213675,0.297686882648352,0.909172661870504,0.879895561357702,3.08690778742508,0,0,0.197742268756917,0.864090909090909,0.9505,0.147770516961905,0.914879356568365,0.943657103352921,1.23668427772287,1,0.8
2,8256,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.56661972434115,0.558823529411765,0.345454545454545,1.08176045628194,0.777777777777778,0.5,0.337222693793526,1,0.904411764705882,2.58893198588604,0,0,0.0882701020796779,0.938388625592417,0.98019801980198,0.455540896160576,0.844615384615385,0.80794701986755,0.674533816643529,0.866666666666667,0.666666666666667,0.279978494598695,0.921621621621622,0.889565217391304,4.2126244415442,0,0,0.182175780171349,0.868829981718464,0.950024987506247,0.153887149108559,0.916722859069454,0.9398548219841,0.830473010585881,1,0.782608695652174
Mean,24760,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,1.50031702705635,0.63418395771337,0.427048260381594,1.23523337293419,0.785022385022385,0.476047904191617,0.25375906479477,1,0.924180621153571,2.50016478476282,0,0,0.387793593785618,0.949211302870428,0.973646133086215,0.457772714280402,0.840135386396785,0.801768099576525,0.611062332385727,0.92073754789272,0.672364672364672,0.283801809370316,0.912739288092717,0.890979679872857,3.87050430903206,0,0,0.197788220756859,0.871080851966417,0.943519990004997,0.148996840595811,0.915858991618009,0.945725736292608,0.812926359886223,1,0.816425120772947
Standard Deviation,24760,Microsoft.Analytics.Modules.Gemini.Dll.MulticlassGeminiDecisionForestClassifier,0.0760866418865832,0.0721831739370749,0.0708306866618605,0.201825992826354,0.0310435408367327,0.0549627537445683,0.0782219380724655,0,0.0171220353880839,0.490828603923898,0,0,0.487472254303367,0.0270528756615021,0.00567457196989129,0.00460127633909603,0.00525807537485064,0.0112213925490445,0.0549723879261507,0.0614083104285243,0.00493461768538146,0.0124228012143137,0.00774188012365502,0.0118548073434575,0.68043041373564,0,0,0.0156354672297081,0.00834620708641631,0.0116807739297438,0.00440702690015158,0.00092718766734414,0.0071338379419257,0.432798093856153,0,0.044370869577604
