LEIM1,LEIM2,TaxaID
-0.022068843856651806,-0.04373187762988886,A751Fang
0.001255940259846842,-0.04086511279309047,B31Tsogo
0.0046104121652233996,-0.031490054712780643,B735Teke
-0.34295650738787176,0.8757310810472759,K11Ciokwe
0.01078977866131483,-0.13166865661220192,L42Kaonde
-0.08137385993890645,-0.2657809684412021,M42Bemba
-3.004120103406251e-6,-1.4116929259815107e-4,M52Lala
-0.01315373339992333,-0.07180364960969378,N212Tumbuka
-0.05208369785291303,-0.028608888394808095,N31bCewa
0.8982485591261211,0.2483183401890068,R111Umbundu
-0.11251771290090844,-0.17676357230849607,R31Herero
-0.023692790744410983,-0.029040683308654332,S31Tswana
2.612482648676577e-4,9.582609670266814e-4,S33Sotho
-0.22658518454745138,-0.1322971818140416,S34Lozi
-0.021889607868237727,-0.02166320294197063,S44Ndebele
-0.018840995859995064,-0.1511526643438824,S45Ngoni
