LEIM1,LEIM2,LEIM3,TaxaID
-0.022068843856651806,-0.04373187762988886,0.004424971692978209,A751Fang
0.001255940259846842,-0.04086511279309047,0.012568022174257126,B31Tsogo
0.0046104121652233996,-0.031490054712780643,0.009832950617499198,B735Teke
-0.34295650738787176,0.8757310810472759,-0.13983794529125582,K11Ciokwe
0.01078977866131483,-0.13166865661220192,0.050910030472109874,L42Kaonde
-0.08137385993890645,-0.2657809684412021,-0.7243614141184159,M42Bemba
-3.004120103406251e-6,-1.4116929259815107e-4,8.500971351849848e-5,M52Lala
-0.01315373339992333,-0.07180364960969378,0.024489763255575853,N212Tumbuka
-0.05208369785291303,-0.028608888394808095,0.17407407789742627,N31bCewa
0.8982485591261211,0.2483183401890068,0.04212372735921227,R111Umbundu
-0.11251771290090844,-0.17676357230849607,-0.07672725702693445,R31Herero
-0.023692790744410983,-0.029040683308654332,0.06319215984200124,S31Tswana
2.612482648676577e-4,9.582609670266814e-4,-6.023140413573399e-4,S33Sotho
-0.22658518454745138,-0.1322971818140416,0.6381637186599084,S34Lozi
-0.021889607868237727,-0.02166320294197063,-0.040179525335100816,S44Ndebele
-0.018840995859995064,-0.1511526643438824,-0.03815597587142236,S45Ngoni
