LEIM1,LEIM2,GuthrieZone
0.624086764,0.020075281,A
0.494806782,0.240346666,B
-0.157165511,0.11675974,K
-0.457840952,0.492767475,L
-0.18959201,0.091935769,M
-0.205190764,0.055972317,N
0.099334767,-0.229844345,R
-0.208439076,-0.788012902,S
