x,y,z,GuthrieZone
-13.006895211042446,7.719627393068233,3.793499990650273,A
-25.63330700567917,8.988869874856187,3.2399215989848993,B
22.351091717097262,3.842974803545121,15.939576160709521,C
23.390687365413182,4.248169155812283,-4.617033075920621,E
-157.6657661762924,22.059934028266944,-2.8646923329985805,F
23.404081192668492,4.245097250528839,-4.625830610467273,G
22.33054376848827,3.8559343287896644,15.907960045306876,H
23.40602897626473,4.271672342852665,-4.595074974198057,K
23.412210935172126,4.269524267775367,-4.588074698717295,L
-35.60534298422445,-80.57826506088779,0.8400314170448949,M
23.398024030669607,4.269761535708539,-4.595905223002521,N
23.403927955955837,4.248586507068916,-4.604264080927163,R
23.39425133766514,4.272054694635301,-4.6028492518919935,S
23.42046409784375,4.286058877979952,-4.627264964573014,Z
