LEIM1,LEIM2,LEIM3,GuthrieZone
0.624086764,0.020075281,0.52155417,A
0.494806782,0.240346666,-0.576585083,B
-0.157165511,0.11675974,-0.212601533,K
-0.457840952,0.492767475,0.421774769,L
-0.18959201,0.091935769,-0.219061777,M
-0.205190764,0.055972317,-0.178426724,N
0.099334767,-0.229844345,0.29916208,R
-0.208439076,-0.788012902,-0.055815901,S
