TaxaID,GuthrieZone,x,y
A34Benga,A,-27.82303547,-1.239585247
A72Ewondo,A,-27.81972197,-1.251447132
A751Fang,A,-27.81606656,-1.254834437
A751FangMakina,A,153.8449071,-5.012082949
A75Fang2dMake,A,-27.81736549,-1.2465909
B11cGalwa,B,-27.82018478,-1.238998851
B25Kota,B,153.8447602,-5.011853283
B27Sake,B,-27.82028839,-1.239374069
B31Tsogo,B,-27.82101086,-1.234991369
B41Shira,B,-27.82144168,-1.23744237
B43Punu,B,-27.82279442,-1.237208169
B51Duma,B,-27.81723456,-1.240860773
B521Nzebi,B,153.843355,-5.01192014
B62Mbamba,B,-27.82134173,-1.239500491
B63Ndumo,B,153.843911,-5.011983334
B735Teke,B,-27.81714826,-1.241624752
B84Mpuono,B,153.8454913,-5.012557188
B85Yanz,B,153.8443006,-5.012221973
C13Mbati,C,-26.90558312,-1.798515151
C55Kele,C,-27.82107947,-1.238598926
E51Gikuyu,E,-27.81946704,-1.239810957
E55Kamba,E,-27.81767246,-1.238213247
Efi,Z,-27.81720868,-1.246908737
F21Sukuma,F,153.863074,-5.011482479
G11Gogo,G,-27.82907885,-1.245899811
G22Pare,G,-27.82569665,-1.251822557
H16hSikongo,H,153.8598364,-5.010285353
H31Yaka,H,-26.90173722,-1.682192477
K11Ciokwe,K,-27.82117497,-1.240695624
K14Lwena,K,-27.8222888,-1.248293055
K15Mbunda,K,-27.82175663,-1.246830974
K19Gangela,K,-27.8214539,-1.246364083
K222LundaMwinilunga,K,-27.82269326,-1.24990364
K31Luyi,K,-27.82090578,-1.243907294
K33Kwangali,K,-27.82405779,-1.247442567
K41Totela,K,153.844297,-5.012409462
L342Hembamambwe,L,-27.82552684,-1.239715049
L42Kaonde,L,-27.82392882,-1.242983364
L62Nkoya,L,-27.82314752,-1.247313518
M42Bemba,M,-27.82386649,-1.245554463
M43Aushi,M,-27.82190206,-1.24923271
M52Lala,M,45.53343921,124.3237609
M54Lamba,M,-27.81623246,-1.246886804
M61Lenje,M,-27.82196103,-1.244277314
M64Tonga,M,-27.82211887,-1.246646175
N212Tumbuka,N,-27.82118819,-1.241610592
N31bCewa,N,-27.82592719,-1.238467608
N41Senga,N,-27.82614865,-1.242880806
N44Sena,N,-27.81638852,-1.245040003
R111Umbundu,R,-27.82274953,-1.241133006
R21Kwanyama,R,-27.82241708,-1.245947118
R31Herero,R,-27.82088545,-1.243702905
S10Shona,S,-27.83165538,-1.242047376
S15Ndau,S,-27.81680125,-1.247143243
S16Kalanga,S,-27.82392237,-1.249742181
S21Venda,S,-27.82119086,-1.250274939
S31dKhalaxadi,S,-27.82271751,-1.240156657
S31Tswana,S,-27.81335184,-1.247134072
S33Sotho,S,-27.83570691,-2.394387816
S34Lozi,S,-27.82256902,-1.242358927
S41Xhosa,S,153.864569,-5.012484922
S42Zulu,S,-27.84340311,-2.399795427
S44Ndebele,S,-27.82483751,-1.245035793
S45Ngoni,S,-27.82222493,-1.238466723
S51Tswa,S,-27.81970812,-1.249713684
S53Tsonga,S,-27.82150228,-1.245669175
S54Ronga,S,-27.82633434,-1.243104071
Yor,Z,-27.82213784,-1.24020067
